Company,BSE code,NSE code,ISIN,Sector,Industry,Date,Price,1 day change(%),52 Week Low,52 Week High,Market Cap(Cr),Enterprise Value(Cr)
Rathi Bars Ltd.,532918,,INE575I01016,Metals & Mining,Stainless Steel,2022-06-16,26.95,0.19,22.6,43.1,42.38,91.1
Ratnabhumi Developers Ltd.,540796,,INE821Y01011,Construction,Real Estate,2022-06-16,133,0.68,53,168.25,182.21,170.85
Ratnamani Metals & Tubes Ltd.,520111,RATNAMANI,INE703B01027,Metals & Mining,Steel Tubes & Pipes,2022-06-16,"2,477.05",-1.75,"1,855.60","2,864.00","11,457.47","11,272.21"
RattanIndia Enterprises Ltd.,534597,RTNINDIA,INE834M01019,Services,Business Services,2022-06-16,42.65,-4.91,27.1,71,"5,895.38","6,115.09"
RattanIndia Power Ltd.,533122,RTNPOWER,INE399K01017,Energy,Electricity Generation,2022-06-16,3.55,-4.05,3.45,9.99,"1,901.02","13,998.47"
Raunaq EPC International Ltd,537840,,INE523K01012,Construction,Construction,2022-06-16,22.1,-0.45,21.1,31.15,7.41,8.45
Ravalgaon Sugar Farm Ltd.,507300,RAVALSUGAR,INE615A01017,Consumer Staples,Cocoa prod.& Confectionery,2022-06-16,"2,510.10",-1.18,"1,921.00","3,100.00",17.07,29.25
Ravi Kumar Distilleries Ltd.,533294,RKDL,INE722J01012,Consumer Staples,Liquors,2022-06-16,10.6,-1.85,7.65,19.85,25.44,53.73
Ravileela Granites Ltd.,526095,,INE427E01027,Materials,Granite & Stones,2022-06-16,25.15,-10.02,10.63,43.2,26.62,63.05
Ravinder Heights Ltd.,543251,RVHL,INE09E501017,Construction,Construction,2022-06-16,20.2,0.25,18.6,34.9,123.11,113.64
Ravindra Energy Ltd.,504341,,INE206N01018,Capital Goods,Power Projects,2022-06-16,49.1,-2.29,31.65,78,659.07,943.2
RAW Edge Industrial Solutions Ltd.,541634,,INE960Z01014,Metals & Mining,Minerals,2022-06-16,41.9,-4.99,21.05,55,42.14,67.64
Raymed Labs Ltd.,531207,,INE741C01017,Healthcare,Drugs & Pharma,2022-05-30,1.73,4.85,0.92,1.73,0.74,2.9
Raymond Ltd.,500330,RAYMOND,INE301A01014,Textiles,Cloth,2022-06-16,899.5,-2.02,389.95,"1,280.00","5,971.33","7,532.45"
R&B Denims Ltd.,538119,,INE012Q01021,Textiles,Cotton & Blended Yarn,2022-06-16,71,1.5,13.64,92.95,454.83,553.69
RBL Bank Ltd.,540065,RBLBANK,INE976G01028,Financial,Banking,2022-06-16,81.9,-7.72,80.2,226.45,"4,963.98","3,104.01"
RCC Cements Ltd.,531825,,INE335N01015,Materials,Cement,2022-05-16,10.61,2.91,8.92,10.61,5.94,5.94
RCI Industries & Technologies Ltd.,537254,,INE140B01014,Metals & Mining,Non-Ferrous Metal,2022-06-16,7.57,3.13,6,11.9,11.88,242.11
RCL Retail Ltd.,534708,,INE892L01019,Services,Retailing,2022-06-16,5.01,-0.6,4.1,13,6.17,4.44
RDB Rasayans Ltd.,533608,,INE123M01017,Materials,Plastic Tubes & Pipes,2022-06-16,75.25,-6.81,70,128.5,134.99,122.96
RDB Realty & Infrastructure Ltd.,533285,,INE245L01010,Construction,Infrastructure,2022-06-16,32.5,-1.81,26.35,45,56.26,350.29
Real Eco-Energy Ltd.,530053,,INE055E01026,Construction,Real Estate,2022-06-16,11.77,0,5.61,25.05,23.54,28.28
Real Strips Ltd.,513558,,INE183B01014,Metals & Mining,Stainless Steel,2022-03-21,8.6,-4.97,5.82,13.73,5.14,79.64
Real Touch Finance Ltd.,538611,,INE840I01014,Financial,Misc. Fin.services,2022-06-16,19.6,4.81,6.4,31.9,24.88,23.67
REC Ltd.,532955,RECLTD,INE020B01018,Financial,SIDCs/SFCs,2022-06-16,112.05,-1.45,111.55,168.85,"22,178.33","3,48,410.27"
Redington India Ltd.,532805,REDINGTON,INE891D01026,Services,Trading,2022-06-16,114.55,-4.74,112.7,179.25,"8,881.25","6,356.84"
Refex Industries Ltd.,532884,REFEX,INE056I01017,Services,Misc.Other Services,2022-06-16,110.8,-1.77,109.05,173.4,232.49,219.35
Refnol Resins & Chemicals Ltd.,530815,,INE428C01011,Chemicals,Misc.Chem.,2022-06-16,37,-13.55,26.55,54.9,11.54,16.61
Regal Entertainment & Consultants Ltd.,531033,,INE101E01010,Financial,Misc. Fin.services,2022-05-16,5.36,0,2.67,8.7,1.65,1.69
Regency Ceramics Ltd.,515018,REGENCERAM,INE277C01012,Materials,Ceramic tiles,2022-06-13,2.9,4.69,1.35,2.9,7.67,107.88
Regency Fincorp Ltd.,540175,,INE964R01013,Financial,Investment Services,2022-06-16,7.3,-5.19,7.3,16.7,3.9,31.28
Regency Trust Ltd.,511585,,INE425F01028,Financial,Misc. Fin.services,2022-06-16,4.81,-1.84,1.19,5.73,4.81,4.76
