Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales growth 3Years,Profit growth 3Years,Average return on capital employed 3Years,Average return on equity 3Years,YOY Quarterly sales growth,YOY Quarterly opm growth,YOY Quarterly profit growth,Return over 10years,Profit growth 10Years
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,240.70,22599.11,0.08,,1.86,-15.62,25.32,26.67,123.18,,
Ipca Labs.,524494,IPCALAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,886.55,22526.05,15.89,26.53,23.36,20.69,15.65,-17.19,-19.21,17.70,12.28
Bata India,500043,BATAINDIA,Leather / Leather Products,1739.45,22328.96,-6.61,-32.19,10.29,6.47,12.77,28.20,113.64,15.02,-4.00
Torrent Power,532779,TORNTPOWER,Power Generation And Supply,463.00,22291.68,2.73,0.77,13.13,12.80,21.38,-10.76,69.92,10.04,-3.35
Coforge,532541,COFORGE,Computers - Software - Medium / Small,3645.45,22181.78,20.50,17.42,28.65,21.65,38.16,7.82,56.17,29.34,13.05
APL Apollo Tubes,533758,APLAPOLLO,Steel - Large,882.95,22152.23,22.24,55.52,28.06,24.75,62.92,-20.93,36.73,49.91,27.43
Aditya Birla Cap,540691,ABCAPITAL,Finance & Investments,91.45,22099.03,13.59,26.96,8.36,9.37,18.38,-9.77,20.02,,
M & M Fin. Serv.,532720,M&MFIN,Finance & Investments,177.35,21905.90,2.76,-15.00,8.13,6.86,-4.73,37.68,188.33,8.56,5.72
Crompton Gr. Con,539876,CROMPTON,Electric Equipment,342.75,21639.40,6.26,14.52,30.53,32.78,1.11,-2.22,-26.27,,
Supreme Inds.,509930,SUPREMEIND,Plastics Products,1702.20,21566.31,11.47,33.87,34.63,28.53,22.78,-37.43,-28.09,22.37,17.43
Motherson Wiring,543498,MSUMI,Auto Ancillaries,67.95,21474.34,,,,,10.01,-13.00,-55.33,,
Bayer Crop Sci.,506285,BAYERCROP,Pesticides / Agrochemicals - Multinational,4763.20,21360.85,14.34,21.07,30.81,22.10,31.29,84.83,167.43,19.53,12.94
Zee Entertainmen,505537,ZEEL,Entertainment / Electronic Media Software,220.85,21208.13,1.06,-12.88,14.18,8.49,18.16,-23.63,-18.93,4.67,5.78
Sumitomo Chemi.,542920,SUMICHEM,Pesticides / Agrochemicals - Indian,419.70,20949.15,11.28,36.15,32.09,24.36,24.57,23.10,37.82,,45.52
GMR Infra.,532754,GMRINFRA,Engineering - Turnkey Services,34.75,20944.01,-14.69,13.91,3.81,,-17.49,303.17,90.90,5.56,-1.93
Dixon Technolog.,540699,DIXON,Electronics - Consumer,3527.85,20930.93,53.04,44.48,29.63,23.94,39.96,5.82,42.27,,40.21
Mindspace Busine,543217,MINDSPACE,Construction,352.00,20913.00,6.93,-0.37,5.02,3.10,7.19,7.84,-10.97,,
Tata Chemicals,500770,TATACHEM,Chemicals,807.80,20584.70,6.88,7.48,16.50,19.63,32.03,69.50,3622.77,19.52,3.03
AIA Engineering,532683,AIAENG,Castings & Forgings,2179.60,20494.44,5.13,8.91,17.51,14.26,27.11,4.98,45.74,20.99,13.13
General Insuranc,540755,GICRE,Finance & Investments,115.05,20236.99,3.32,4.38,8.45,4.80,16.11,34.36,42.44,,10.45
Phoenix Mills,503100,PHOENIXLTD,Construction,1130.20,20204.85,-9.13,-14.41,6.87,4.52,28.39,8.25,59.98,20.41,9.60
Kansai Nerolac,500165,KANSAINER,Paints / Varnishes,374.10,20171.92,5.50,-8.44,15.65,11.72,5.28,-62.65,-84.49,15.01,
Escorts,500495,ESCORTS,Automobiles - Tractors,1520.05,20068.26,4.95,15.30,19.36,14.56,-15.71,-18.83,-28.42,36.88,19.55
Sundaram Finance,590071,SUNDARMFIN,Finance & Investments,1741.95,19346.30,11.39,11.04,8.85,14.19,-1.04,9.48,25.69,19.43,9.87
Whirlpool India,500238,WHIRLPOOL,Domestic Appliances,1517.55,19325.17,4.71,-11.17,18.26,13.82,-4.07,-18.95,-35.55,22.79,
Hatsun Agro,531531,HATSUN,Food - Processing - Indian,893.10,19270.26,10.20,22.09,15.22,20.06,4.04,-24.01,-55.92,34.46,23.90
IDFC First Bank,539437,IDFCFIRSTB,Banks - Private Sector,30.90,19184.73,12.06,27.43,5.52,-4.37,14.04,5.25,157.31,,
Vinati Organics,524200,VINATIORGA,Chemicals,1866.05,19131.15,12.72,7.03,28.36,22.28,73.75,-19.42,42.68,42.41,20.25
Endurance Tech.,540153,ENDURANCE,Auto Ancillaries,1349.00,19039.86,0.18,-1.24,17.26,15.88,-2.54,-20.55,-27.29,,10.35
Indian Bank,532814,INDIANB,Banks - Public Sector,152.55,19018.58,26.53,121.35,5.00,8.62,10.51,-9.06,-40.63,-1.08,9.12
Trident,521064,TRIDENT,Textiles - Products,37.30,18983.17,10.06,31.21,14.60,15.37,39.03,2.38,85.84,44.02,34.92
Federal Bank,500469,FEDERALBNK,Banks - Private Sector,89.35,18794.85,7.32,14.72,5.72,11.25,4.85,1.50,12.72,7.17,10.09
Pfizer,500680,PFIZER,Pharmaceuticals - Multinational,4095.75,18728.70,7.85,12.60,24.25,18.56,2.79,28.03,25.10,13.48,12.73
Bank of India,532149,BANKINDIA,Banks - Public Sector,45.50,18713.86,-2.27,36.59,4.05,1.50,5.17,1.66,728.47,-18.33,1.65
Devyani Intl.,543330,DEVYANI,Hotels,152.55,18378.26,16.72,56.96,11.19,,36.40,-12.25,32.10,,
Poonawalla Fin,524000,POONAWALLA,Finance & Investments,236.55,18103.19,-6.56,7.32,6.76,-1.67,-10.58,156.53,118.36,15.19,17.58
Navin Fluo.Intl.,532504,NAVINFLUOR,Chemicals,3618.70,17929.06,13.43,21.39,20.65,20.31,21.55,-7.95,16.17,49.67,1.66
Fortis Health.,532843,FORTIS,Healthcare,236.50,17858.54,8.56,65.62,5.89,2.01,10.03,1.90,57.40,8.92,19.34
Emami,531162,EMAMILTD,Personal Care - Indian,400.70,17738.83,5.81,40.60,26.60,27.72,5.42,-7.15,309.06,9.55,12.68
LIC Housing Fin.,500253,LICHSGFIN,Finance - Housing,320.60,17626.53,4.71,-2.07,8.05,12.51,6.95,20.84,174.21,2.01,9.53
Nippon Life Ind.,540767,NAM-INDIA,Finance & Investments,282.20,17611.37,-3.50,14.39,27.73,20.80,12.26,12.52,8.43,,9.92
Timken India,522113,TIMKEN,Bearings,2319.90,17475.71,9.81,30.07,21.00,16.21,40.39,47.37,128.87,27.48,15.68
Blue Dart Expres,526612,BLUEDART,Couriers,7295.05,17306.29,11.59,65.45,28.00,30.97,20.41,-2.42,52.19,14.47,12.63
L&T Fin.Holdings,533519,L&TFH,Finance & Investments,69.75,17287.68,-3.72,-26.07,7.94,6.62,-13.71,-8.52,28.34,5.65,6.85
K P R Mill Ltd,532889,KPRMILL,Textiles - Products,500.55,17124.91,12.53,36.32,26.13,25.73,29.81,-3.22,18.06,50.48,38.50
Dr Lal Pathlabs,539524,LALPATHLAB,Healthcare,2031.90,16953.26,20.15,20.14,31.37,24.35,12.65,-11.90,-26.50,,22.65
Rajesh Exports,531500,RAJESHEXPO,Diamond Cutting / Jewellery,571.00,16868.34,11.42,-7.97,9.31,9.44,32.99,-68.63,-52.68,15.58,
SKF India,500472,SKFINDIA,Bearings,3383.00,16697.93,6.50,5.80,24.13,18.15,22.59,-12.24,4.39,18.43,6.58
Grindwell Norton,506076,GRINDWELL,Abrasives And Grinding Wheels,1510.00,16694.26,7.99,23.56,23.87,17.68,9.84,-0.32,12.80,28.49,11.11
Sun TV Network,532733,SUNTV,Entertainment / Electronic Media Software,412.20,16265.83,-1.77,5.63,29.46,22.30,6.77,-4.12,-15.86,3.26,9.05
Gillette India,507815,GILLETTE,Personal Care - Multinational,4960.15,16182.77,6.22,10.04,45.41,32.71,5.57,-11.30,-34.40,8.05,13.56
Ajanta Pharma,532331,AJANTPHARM,Pharmaceuticals - Indian - Formulations,1247.35,16050.82,17.58,22.56,29.58,22.02,14.99,-30.72,-5.05,34.82,24.89
J K Cements,532644,JKCEMENT,Cement - North India,2067.00,15966.60,14.97,36.63,17.74,18.65,10.17,-21.57,-6.94,30.02,14.18
B H E L,500103,BHEL,Electric Equipment,45.55,15860.80,-11.35,-23.46,-2.44,-4.46,12.43,180.78,188.18,-11.00,-24.18
AAVAS Financiers,541988,AAVAS,Finance - Housing,2000.00,15787.80,22.48,26.59,9.84,13.12,26.13,2.70,32.03,,
Prestige Estates,533274,PRESTIGE,Construction,390.45,15697.06,7.30,15.58,11.56,6.95,6.89,-12.82,7.59,12.95,20.92
Indian Energy Ex,540750,IEX,Miscellaneous,174.05,15641.35,18.76,25.51,61.07,47.29,17.59,0.01,26.71,,24.38
Clean Science,543318,CLEAN,Chemicals,1457.25,15473.48,20.31,32.67,53.69,40.40,52.82,-21.75,17.64,,
Metro Brands,543426,METROBRAND,Trading,562.85,15292.72,3.33,12.49,17.02,16.84,26.26,21.09,66.04,,
Sundram Fasten.,500403,SUNDRMFAST,Fasteners,713.00,14990.77,2.46,-0.26,17.64,17.23,5.24,-23.12,-24.33,31.21,16.42
Central Bank,532885,CENTRALBK,Banks - Public Sector,17.30,14974.11,0.23,31.05,4.25,-1.25,18.69,3411.63,142.59,-14.08,8.64
CreditAcc. Gram.,541770,CREDITACC,Finance & Investments,947.55,14791.23,21.32,5.89,9.68,9.01,14.21,28.66,109.45,,63.17
Sanofi India,500674,SANOFI,Pharmaceuticals - Multinational,6401.60,14726.53,2.19,15.04,31.51,22.72,-2.50,5.32,4.15,11.62,11.76
Fine Organic,541557,FINEORG,Chemicals,4780.00,14659.49,20.95,23.99,31.24,26.18,91.05,72.38,283.30,,
M R P L,500109,MRPL,Refineries,83.60,14643.09,3.96,104.96,1.13,0.06,82.64,77.81,1034.25,4.34,12.61
Kajaria Ceramics,500233,KAJARIACER,Ceramics - Tiles / Sanitaryware,920.00,14570.66,7.82,17.39,21.90,17.36,15.67,-24.85,-24.65,27.50,16.49
DCM Shriram,523367,DCMSHRIRAM,Diversified - Mega,927.30,14448.86,7.40,6.31,20.14,18.51,27.63,37.83,73.14,33.91,35.30
The Ramco Cement,500260,RAMCOCEM,Cement - South India,609.50,14405.58,5.13,20.93,12.03,14.06,4.82,-37.29,-42.12,15.34,8.78
Godrej Industrie,500164,GODREJIND,Chemicals,425.10,14338.56,9.21,12.31,9.58,7.96,70.26,1908.20,1584.07,6.48,11.93
Alembic Pharma,533573,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,726.60,14288.19,10.48,-3.58,19.95,20.25,10.57,-54.78,-87.47,29.71,14.88
ICICI Securities,541179,ISEC,Finance & Investments,435.75,14029.33,25.80,41.21,31.71,62.75,20.60,-3.88,3.28,,
ZF Commercial,533023,ZFCVINDIA,Auto Ancillaries,7185.00,13637.35,-3.77,-18.42,8.97,6.32,9.78,-2.82,18.83,16.75,-0.70
KPIT Technologi.,542651,KPITTECH,Computers - Software - Medium / Small,496.75,13600.16,55.96,51.13,19.05,16.80,20.62,15.00,50.36,,
Affle India,542752,AFFLE,Computers - Software - Medium / Small,1017.35,13564.30,63.08,63.63,32.75,34.14,122.56,-24.40,17.02,,
Aptus Value Hou.,543335,APTUS,Finance - Housing,272.00,13556.06,35.82,49.09,13.72,15.44,28.18,0.23,45.43,,
Tanla Platforms,532790,TANLA,Computers - Software - Medium / Small,989.05,13403.29,47.26,181.72,33.73,27.71,31.53,4.40,37.14,67.17,18.44
New India Assura,540769,NIACL,Finance & Investments,81.15,13381.85,8.96,34.89,5.50,4.57,-7.61,-411.76,-325.09,,8.65
Bharat Dynamics,541143,BDL,Engineering,729.50,13373.11,-2.81,7.41,23.08,16.57,21.48,-3.40,10.56,,8.36
Hitachi Energy,543187,POWERINDIA,Electric Equipment,3140.00,13318.08,,,,,9.64,-18.04,31.03,,
Alkyl Amines,506767,ALKYLAMINE,Chemicals,2601.10,13277.82,22.16,39.05,42.57,35.41,11.39,-50.49,-49.87,62.44,29.34
UCO Bank,532505,UCOBANK,Banks - Public Sector,11.03,13187.42,1.49,30.35,3.59,-2.49,5.79,73.78,290.08,-17.59,-1.74
Asahi India Glas,515030,ASAHIINDIA,Glass & Glass Products,537.80,13088.68,2.89,22.04,14.32,14.55,15.81,15.39,51.50,25.67,21.93
Sheela Foam,540203,SFL,Textiles - Jute - Yarn / Products,2674.00,13030.15,13.01,18.47,22.12,19.95,4.22,-18.03,-15.33,,39.62
Narayana Hrudaya,539551,NH,Healthcare,635.85,12994.28,8.96,79.37,13.12,13.08,12.26,10.02,1.34,,29.47
Carborundum Uni.,513375,CARBORUNIV,Abrasives And Grinding Wheels,680.65,12916.42,7.33,10.44,19.64,14.80,14.90,-39.06,-43.17,16.30,4.36
Indiamart Inter.,542726,INDIAMART,Miscellaneous,4142.65,12767.76,14.72,190.86,33.36,25.62,12.12,-39.82,10.15,,22.38
Happiest Minds,543227,HAPPSTMNDS,Computers - Software - Medium / Small,868.05,12758.26,20.52,76.35,31.44,38.87,37.72,-3.19,55.80,,23.65
Natl. Aluminium,532234,NATIONALUM,Aluminium and Aluminium Products,69.30,12718.50,7.24,19.44,17.12,13.64,53.85,11.45,9.62,1.67,13.94
IRB Infra.Devl.,532947,IRB,Construction,209.40,12655.20,-4.71,-24.60,10.49,5.03,-10.73,-10.94,79.05,5.41,-3.15
Elgi Equipments,522074,ELGIEQUIP,Compressors / Drilling Equipment,392.00,12440.60,10.66,20.08,13.90,12.67,19.17,12.49,68.50,25.62,9.00
IIFL Finance,532636,IIFL,Finance & Investments,324.65,12330.19,11.88,18.05,10.55,15.75,16.12,2.35,29.60,27.61,24.17
Capri Global,531595,CGCL,Finance & Investments,700.05,12284.74,18.07,15.02,10.68,11.07,56.09,-18.91,53.57,45.36,17.48
IIFL Wealth Mgt,542772,IIFLWAM,Finance & Investments,1374.65,12190.53,5.45,15.54,9.94,13.11,6.50,-20.74,60.17,,
Guj.St.Petronet,532702,GSPL,Miscellaneous,216.00,12186.96,24.40,17.72,36.08,29.50,32.47,-17.17,6.08,12.12,11.63
Suven Pharma,543064,SUVENPHAR,Pharmaceuticals - Indian - Bulk Drugs & Formln,473.50,12066.53,51.75,60.79,44.84,36.50,40.40,19.39,10.29,,
J B Chem & Pharm,506943,JBCHEPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,1559.20,12062.07,13.84,28.57,26.96,20.70,18.19,-14.68,-15.66,37.97,19.20
Powergrid Infra.,543290,PGINVIT,Power Generation And Supply,131.68,11981.06,,,,,,,,,
Chambal Fert.,500085,CHAMBLFERT,Fertilizers,284.70,11840.99,16.76,30.55,18.64,29.20,101.58,-37.22,33.79,14.84,27.93
Natco Pharma,524816,NATCOPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,645.90,11767.26,-2.44,-35.45,10.62,8.77,80.14,-113.57,-195.28,24.94,11.27
Exide Inds.,500086,EXIDEIND,Auto Ancillaries,137.10,11666.35,-4.58,78.01,30.34,26.86,16.49,-33.69,1134.60,-0.03,25.59
C D S L,,CDSL,Miscellaneous,1115.45,11656.45,41.10,39.98,32.59,24.88,32.47,7.50,50.37,,19.84
Chola Financial,504973,CHOLAHLDNG,Finance & Investments,617.75,11608.50,10.26,13.66,10.71,15.81,6.25,33.78,262.94,19.85,14.97
National Standar,504882,,Construction,5775.40,11550.80,22.59,72.92,8.68,6.24,14.96,200.30,53.97,,27.60
Aditya AMC,543374,ABSLAMC,Finance & Investments,400.75,11541.60,-2.78,14.61,46.14,35.80,2.60,-5.14,1.14,,
Apollo Tyres,500877,APOLLOTYRE,Tyres,181.30,11520.80,6.08,-8.54,7.21,5.70,11.00,-30.72,-60.62,8.74,3.97
KIOCL,540680,KIOCL,Mining / Minerals / Metals,189.10,11505.74,16.78,42.45,14.56,10.93,21.81,-22.74,-0.04,,12.77
Ratnamani Metals,520111,RATNAMANI,Steel - Medium / Small,2450.00,11450.92,4.44,8.42,20.61,16.23,39.94,-24.10,2.03,37.10,11.19
Shri.City Union.,532498,SHRIRAMCIT,Finance & Investments,1709.40,11420.50,5.38,4.75,11.16,13.64,19.11,-0.32,9.87,10.66,13.04
Cams Services,543232,CAMS,Miscellaneous,2311.45,11311.48,9.87,38.35,56.34,45.15,21.64,7.41,28.03,,18.68
TTK Prestige,517506,TTKPRESTIG,Domestic Appliances,814.00,11304.48,8.92,16.59,21.72,17.04,16.63,-13.01,4.79,12.11,
Century Plyboard,532548,CENTURYPLY,Miscellaneous,507.85,11300.69,9.90,27.73,21.76,17.47,20.95,5.62,2.20,27.56,8.70
PVR,532689,PVR,Entertainment / Electronic Media Software,1841.20,11249.12,-24.44,,-0.37,-25.71,196.01,159.45,63.51,28.90,
Bank of Maha,532525,MAHABANK,Banks - Public Sector,16.50,11105.31,6.26,30.88,4.27,6.38,10.61,180.93,110.55,-10.34,10.19
Radico Khaitan,532497,RADICO,Breweries & Distilleries,822.50,11006.27,11.60,10.29,17.90,15.56,17.89,-33.33,-36.97,21.69,13.12
Brookfield India,543261,BIRET,Construction,324.97,10881.88,,,,,91.62,8.04,63.59,,
Motil.Oswal.Fin.,532892,MOTILALOFS,Finance & Investments,728.65,10850.98,20.61,64.55,17.38,23.69,-7.87,-19.57,-34.79,22.08,29.67
Glenmark Pharma.,532296,GLENMARK,Pharmaceuticals - Indian - Bulk Drugs & Formln,383.05,10809.89,7.64,10.19,14.99,13.63,5.57,-16.12,-15.31,0.49,9.05
BASF India,500042,BASF,Chemicals,2467.45,10685.69,29.54,168.42,20.85,18.78,20.81,-18.80,134.62,15.63,19.23
G R Infraproject,543317,GRINFRA,Construction,1090.00,10664.13,16.99,5.44,21.19,24.58,-12.42,14.63,8.92,,
KEI Industries,517569,KEI,Cables - Power,1179.55,10616.26,10.65,27.40,24.22,19.08,43.76,-13.06,34.57,52.83,31.46
Bajaj Electrical,500031,BAJAJELEC,Domestic Appliances,916.80,10559.14,-10.27,-4.54,10.40,6.95,6.03,-18.02,-26.82,17.23,
Nuvoco Vistas,543334,NUVOCO,Cement - North India,292.65,10464.77,9.73,43.00,5.76,1.36,11.35,-27.17,-22.41,,
K E C Intl.,532714,KEC,Transmisson Line Towers / Equipment,404.10,10397.75,7.70,-10.63,19.47,15.98,-1.97,-27.55,-42.34,21.75,7.19
SJVN,533206,SJVN,Power Generation And Supply,26.25,10315.72,-2.96,-10.53,12.72,10.96,-30.34,-15.23,-97.95,3.21,
Galaxy Surfact.,540935,GALAXYSURF,Detergents / Intermediates,2894.75,10267.51,10.10,11.05,22.49,22.19,34.39,-8.08,25.06,,
Sh.Renuka Sugar,532670,RENUKA,Sugar,48.20,10259.33,12.62,23.87,38.20,,64.56,-33.35,86.76,4.85,
Brigade Enterpr.,532929,BRIGADE,Construction,439.00,10153.67,0.29,,6.23,-0.13,19.09,-8.68,-15183.64,29.70,
Birlasoft Ltd,532400,BSOFT,Computers - Software - Medium / Small,362.00,10140.50,17.43,20.16,21.92,16.12,21.99,-6.10,34.27,17.43,12.30
Castrol India,500870,CASTROLIND,Chemicals,102.40,10138.45,2.40,2.32,70.96,51.82,8.52,-14.06,-6.24,-2.14,4.53
Tata Motors-DVR,570001,TATAMTRDVR,Automobiles - LCVs / HCVs,196.60,10028.06,,,,,,,,3.65,
Alok Industries,521070,ALOKINDS,Textiles - Processing,20.05,9955.31,29.67,25.11,-1.40,,37.09,-26.25,-117.74,1.14,
Pun. & Sind Bank,533295,PSB,Banks - Public Sector,14.65,9929.46,-6.06,57.11,3.55,-11.28,11.34,26.46,115.24,-14.28,8.70
Campus Activewe.,543523,CAMPUS,Leather / Leather Products,325.85,9914.93,26.15,48.06,24.29,23.11,28.07,-5.84,295.70,,
ITI,523610,ITI,Telecommunications - Equipment,106.10,9913.89,3.70,9.37,7.03,4.07,-9.86,22.12,77.54,17.03,8.81
Zydus Wellness,531335,ZYDUSWELL,Food - Processing - Indian,1552.05,9864.30,33.58,23.82,6.30,6.08,5.62,-7.83,0.13,14.82,16.40
Angel One,543235,ANGELONE,Finance & Investments,1175.90,9770.60,43.37,98.57,27.89,36.30,64.28,18.15,100.85,,
India Grid Trust,540565,INDIGRID,Power Generation And Supply,138.75,9707.31,50.24,30.85,7.84,8.61,10.15,13.39,41.66,,
Godrej Agrovet,540743,GODREJAGRO,Food - Processing - Indian,496.05,9533.06,11.96,18.30,17.90,17.72,42.28,6.00,116.10,,
Aether Industri.,543534,AETHER,Chemicals,764.45,9526.71,43.14,67.12,31.26,43.75,27.45,-7.24,13.77,,
Redington India,532805,REDINGTON,Trading,121.85,9517.95,10.42,34.99,21.89,18.41,11.60,3.65,17.54,12.24,16.20
Lak. Mach. Works,500252,LAXMIMACH,Textile Machinery,8901.15,9510.10,5.35,-1.36,7.25,5.18,46.04,40.78,145.13,18.86,3.51
V-Guard Industri,532953,VGUARD,Electric Equipment,218.35,9439.98,10.63,11.02,24.57,18.25,23.69,-18.53,32.57,29.01,16.05
City Union Bank,532210,CUB,Banks - Private Sector,127.35,9418.61,2.90,3.74,6.27,11.10,7.54,27.45,87.93,13.06,10.50
Blue Star,500067,BLUESTARCO,Air-conditioners,968.65,9342.20,4.92,-3.93,17.27,14.82,39.47,0.63,12.05,19.54,13.66
CESC,500084,CESC,Power Generation And Supply,70.30,9318.76,5.56,4.65,13.01,13.52,4.19,-20.47,0.24,11.97,19.15
Krishna Institu.,543308,KIMS,Healthcare,1159.95,9310.45,21.61,107.59,28.66,26.83,3.85,8.42,39.60,,
Balaji Amines,530999,BALAMINES,Chemicals,2859.40,9267.04,35.12,46.52,36.26,28.53,88.16,-18.75,28.66,54.77,26.50
V I P Inds.,507880,VIPIND,Moulded Luggage,641.25,9071.70,-10.27,-22.76,9.07,6.25,46.46,593.18,427.78,23.26,-0.16
G N F C,500670,GNFC,Fertilizers,581.60,9042.38,13.59,32.09,19.87,16.38,59.93,17.76,108.24,21.38,19.63
EID Parry,500125,EIDPARRY,Sugar,507.10,9010.95,12.43,79.16,27.84,15.08,46.19,56.83,356.01,11.59,10.89
Quess Corp,539978,QUESS,Diversified - Large,609.50,9007.02,17.10,-1.96,11.03,6.45,26.21,295.12,228.15,,43.94
ERIS Lifescience,540596,ERIS,Pharmaceuticals - Indian - Formulations,657.40,8945.06,11.11,11.89,25.77,23.87,9.97,-6.80,17.19,,27.09
Aster DM Health.,540975,ASTERDM,Healthcare,177.80,8873.74,8.79,2.22,11.12,14.02,14.09,25.69,114.70,,
Medplus Health,543427,MEDPLUS,Trading,741.80,8869.15,18.47,97.09,10.74,7.48,19.88,-27.67,-36.78,,
NLC India,513683,NLCINDIA,Power Generation And Supply,63.60,8826.09,6.57,-15.14,8.39,8.30,8.68,16.33,-54.76,-2.26,-3.69
Century Textiles,500040,CENTURYTEX,Paper,778.85,8716.27,1.55,-67.59,6.63,6.34,46.05,22.63,564.34,19.44,25.17
Intellect Design,538835,INTELLECT,Computers - Software - Medium / Small,644.55,8683.42,9.02,38.54,17.42,16.04,28.13,-5.81,18.17,,
Cyient,532175,CYIENT,Computers - Software - Medium / Small,780.80,8634.95,-0.60,2.87,17.54,14.68,8.06,27.16,49.56,17.55,12.36
Finolex Inds.,500940,FINPIPE,Plastics Products,139.10,8624.63,14.56,28.34,27.03,22.07,27.66,-49.44,-32.03,27.93,28.67
Borosil Renew.,502219,BORORENEW,Glass & Glass Products,652.10,8509.68,43.78,52.45,22.12,17.08,-7.70,-38.20,-30.64,60.95,23.10
Easy Trip Plann.,543272,EASEMYTRIP,Travel Agencies,386.00,8400.93,32.06,68.80,64.11,48.08,-11.00,-20.87,-23.31,,55.23
Mahindra CIE,532756,MAHINDCIE,Castings & Forgings,220.40,8336.28,1.45,-7.37,8.68,5.93,18.22,-12.44,1499.90,15.90,49.36
Hindustan Copper,513599,HINDCOPPER,Mining / Minerals / Metals,85.35,8272.91,0.10,37.05,1.18,-2.24,4.45,375.64,341.65,-10.30,1.52
Supreme Petroch.,500405,SPLPETRO,Petrochemicals,871.00,8187.29,16.36,138.22,57.39,44.09,18.01,-17.57,-2.72,35.55,22.42
UTI AMC,543238,UTIAMC,Finance & Investments,642.00,8148.28,7.88,15.37,17.92,14.28,4.12,-37.95,-59.66,,13.79
Akzo Nobel,500710,AKZOINDIA,Paints / Varnishes,1780.90,8102.51,2.56,14.19,25.80,19.76,10.97,-5.56,-1.44,7.44,8.30
BSE,,BSE,Miscellaneous,594.55,8042.35,4.43,5.25,8.88,6.95,34.44,21.65,125.26,,1.16
Sundaram Clayton,520056,SUNCLAYLTD,Auto Ancillaries,3958.20,8006.59,5.90,0.93,12.20,12.44,7.18,0.08,-6.15,32.65,11.52
Vardhman Textile,502986,VTL,Textiles - Cotton/Blended,277.05,7995.91,11.84,33.23,14.15,13.20,39.04,-8.89,29.31,20.25,27.80
Route Mobile,543228,ROUTE,Computers - Software - Medium / Small,1262.05,7978.81,33.77,44.12,22.89,19.77,72.74,-34.64,29.15,,
Amara Raja Batt.,500008,AMARAJABAT,Auto Ancillaries,466.10,7961.57,8.58,1.97,19.96,15.21,3.71,-33.02,-47.99,12.04,9.05
EIH,500840,EIHOTEL,Hotels,125.60,7870.21,-18.36,,-2.86,-3.81,39.84,116.88,66.83,5.04,
Laxmi Organic,543277,LXCHEM,Chemicals,295.55,7833.56,25.28,52.64,20.87,18.54,69.36,-32.38,57.95,,
Jubilant Ingrev.,543271,JUBLINGREA,Chemicals,490.00,7807.30,,,,,89.40,-35.81,8.10,,
I D F C,532659,IDFC,Finance & Investments,48.75,7791.30,-37.20,28.30,-3.97,-4.79,-89.09,-1646.28,371.86,-2.38,-27.29
RHI Magnesita,534076,RHIM,Refractories / Intermediates,480.10,7732.72,38.58,43.94,31.57,24.51,44.85,46.17,134.13,29.23,24.11
HFCL,500183,HFCL,Engineering - Turnkey Services,56.00,7722.53,-0.08,12.75,19.94,13.80,-14.98,-19.49,-22.86,17.35,19.78
Balrampur Chini,500038,BALRAMCHIN,Sugar,371.80,7580.95,4.18,-6.36,16.16,19.31,25.53,-20.83,2.52,22.63,101.12
Graphite India,509488,GRAPHITE,Electrodes - Graphites,384.30,7521.16,-27.25,-47.20,5.12,3.65,49.38,-23.21,48.44,15.93,10.01
Mahanagar Gas,539957,MGL,Miscellaneous,756.45,7479.64,8.45,2.99,28.21,21.89,51.43,-54.98,-38.06,,6.85
Welspun India,514162,WELSPUNIND,Textiles - Products,74.10,7434.70,12.58,18.37,14.10,16.08,4.28,-32.20,-60.61,30.32,37.50
Manappuram Fin.,531213,MANAPPURAM,Finance & Investments,87.60,7414.42,13.19,12.22,14.17,23.20,-8.69,-16.90,-44.28,11.23,
Chemplast Sanmar,543336,CHEMPLASTS,Chemicals,468.50,7399.25,67.47,74.94,24.43,13.07,34.65,-25.20,-36.69,41.20,
Shyam Metalics,543299,SHYAMMETL,Steel - Medium / Small,289.60,7395.03,31.16,41.96,29.49,27.36,21.54,-12.94,11.19,,
Aegis Logistics,500003,AEGISCHEM,Trading,210.10,7367.28,-6.23,17.32,16.52,12.66,108.03,-31.38,44.81,32.34,33.62
Metropolis Healt,542650,METROPOLIS,Healthcare,1435.05,7343.58,17.29,19.73,33.54,28.10,4.86,-25.94,-34.78,,
Deepak Fertiliz.,500645,DEEPAKFERT,Chemicals,607.50,7336.76,4.36,127.69,13.68,14.26,27.77,43.71,146.89,16.93,12.85
Amber Enterp.,540902,AMBER,Electronics - Components,2169.85,7329.58,15.19,5.27,10.90,8.65,21.16,-26.73,-24.17,,
Poly Medicure,531768,POLYMED,Healthcare,746.30,7171.63,14.80,31.31,20.41,17.68,20.92,-14.93,-6.90,35.90,22.37
Westlife Develop,505533,WESTLIFE,Hotels,458.80,7105.10,3.99,,3.35,-4.08,27.26,5.73,337.15,50.25,
