Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales growth 3Years,Profit growth 3Years,Average return on capital employed 3Years,Average return on equity 3Years,YOY Quarterly sales growth,YOY Quarterly opm growth,YOY Quarterly profit growth,Return over 10years,Profit growth 10Years
Madras Fertilize,590134,MADRASFERT,Fertilizers,42.70,689.54,13.06,48.10,12.02,,68.87,-20.76,258.67,8.44,3.91
Indian Hume Pipe,504741,INDIANHUME,Construction,142.25,685.97,-2.60,-12.48,12.63,9.78,-14.59,7.73,-48.56,9.81,25.78
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,40.80,685.28,-15.49,,6.62,1.70,17.73,104.33,95.88,14.93,6.11
Dhunseri Vent.,523736,DVL,Petrochemicals,197.40,683.50,-29.78,86.66,14.05,11.80,122.06,-110.59,0.91,,31.41
Satin Creditcare,539404,SATIN,Finance & Investments,90.45,679.30,-1.54,-53.14,9.71,3.76,-10.05,21.27,50.45,,
BIGBLOC Const.,540061,BIGBLOC,Cement Products,95.30,678.91,20.53,138.03,13.39,21.48,34.05,32.75,116.18,,
DCM Shriram Inds,523369,DCMSRIND,Sugar,77.70,675.93,7.92,-3.23,12.20,12.95,26.81,-28.81,-16.97,27.18,43.65
Dhanvarsha Finv.,540268,DHANVARSHA,Finance & Investments,63.30,675.55,58.48,23.17,9.62,4.16,119.96,80.07,-115.38,,
The Anup Enginee,542460,ANUP,Engineering,682.50,674.78,5.86,14.35,18.91,15.86,-24.69,-11.16,17.24,,
Themis Medicare,530199,THEMISMED,Pharmaceuticals - Indian - Bulk Drugs & Formln,732.45,673.73,29.02,102.69,22.09,21.25,29.19,-8.93,23.60,25.68,15.55
Parag Milk Foods,539889,PARAGMILK,Food - Processing - Indian,70.65,673.34,-1.96,-37.49,12.43,9.31,13.75,22.78,69.52,,60.19
Ravindra Energy,504341,,Trading,50.00,671.15,13.87,29.88,17.37,,317.93,-137.98,9.97,14.87,
